id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736266342,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736266342,4.63
1736265533,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265533,6.04
1736267875,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267875,4.63
1736265655,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736265655,6.26
1736267631,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736267631,6.17
1736265519,Bab El Jazira,67,36.8065,10.1815,1736266703,1736231540,15.99,1736265519,7.72
1736268048,Metlaoui,49,34.2744,8.4459,1736267504,1736231573,14.11,1736268048,2.86
1736265442,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265442,6.04
1736265594,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736265594,3.09
1736268071,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736268071,3.09
1736266128,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736266128,4.4
1736266869,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736266869,4.58
1736268319,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736268319,5.14
1736268347,Tunis,77,36.8064,10.1817,1736266703,1736231540,14.99,1736268347,5.14
1736267097,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736267097,5.14
1736268415,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736268415,4.28
1736266801,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736266801,0.51
1736267930,Sbiba,78,35.4037,9.0079,1736267201,1736231606,7.23,1736267930,10.13
1736265393,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265393,6.04
1736265079,Kairouan,34,35.6712,10.0911,1736266900,1736231387,19.01,1736265079,3.09
1736265746,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736265746,6.32
1736267136,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267136,3.09
1736264245,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736264245,6.26
1736266020,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736266020,9.9
1736267542,Gouvernorat de Gabès,48,33.8815,9.5608,1736267293,1736231248,15.22,1736267542,4.29
1736266134,Kairouan,56,35.7976,10.126,1736266872,1736231397,15.78,1736266134,9.2
1736264392,Carthage,63,36.8473,10.3417,1736266658,1736231508,17.02,1736264392,7.72
1736267002,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736267002,6.32
1736267325,Bizerte,69,37.3426,9.8502,1736266698,1736231705,15.28,1736267325,11.9
1736268003,Beni Kheddache,59,33.1381,10.269,1736267230,1736230971,12.1,1736268003,5.62
1736267341,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736267341,8.34
1736266979,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736266979,4.12
1736265139,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736265139,4.63
1736267819,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267819,4.63
1736264996,Bizerte,88,37.2744,9.8739,1736266703,1736231688,15,1736264996,6.69
1736266896,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736266896,4.12
1736268213,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736268213,0.51
1736267436,Bizerte,68,37.2744,9.8739,1736266703,1736231688,14.81,1736267436,10.78
1736266990,Bizerte,68,37.2744,9.8739,1736266703,1736231688,15.25,1736266990,11.46
1736265355,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736265355,3.09
1736267175,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736267175,0.51
1736266784,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736266784,6.17
1736267018,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736267018,2.57
1736267847,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736267847,6.17
1736267603,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267603,4.63
1736265063,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736265063,6.26
1736268229,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736268229,4.28
1736266229,Sfax,45,34.7396,10.76,1736266879,1736231086,17.44,1736266229,2.93
1736267587,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736267587,2.57
1736263966,Gafsa,51,34.4311,8.7757,1736267401,1736231517,16.06,1736263966,4.63
1736265404,Gabès,59,33.8869,10.0982,1736267163,1736231120,16.99,1736265404,5.66
1736265931,Gabès,59,33.8869,10.0982,1736267163,1736231120,16.99,1736265931,5.66
1736265360,Gafsa,51,34.4311,8.7757,1736267401,1736231517,16.06,1736265360,4.63
1736266846,Aryanah,77,36.8625,10.1956,1736266691,1736231546,14.97,1736266846,6.17
1736267720,Fernana,84,36.7422,8.6626,1736267078,1736231895,7.04,1736267720,4.86
1736268201,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736268201,5.14
1736266275,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736266275,6.26
1736266790,Bizerte,69,37.3426,9.8502,1736266698,1736231705,15.28,1736266790,11.9
1736267480,El Kef,84,36.1632,8.7146,1736267155,1736231792,8.68,1736267480,3.67
1736265030,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736265030,4.58
1736265572,Carthage,67,36.8473,10.3417,1736266658,1736231508,16.02,1736265572,7.72
1736267825,Kasserine,74,35.1677,8.8315,1736267279,1736231613,9.32,1736267825,7.42
1736267508,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736267508,5.14
1736266397,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736266397,6.32
1736266314,Bizerte,69,37.3426,9.8502,1736266698,1736231705,15.28,1736266314,11.9
1736266582,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736266582,3.09
1736264305,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736264305,3.09
1736267330,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267330,4.63
1736267797,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736267797,6.17
1736267786,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267786,4.63
1736267058,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736267058,2.57
1736267659,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267659,3.09
1736267102,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267102,3.09
